Date,Exp-Total(億円),Imp-Total(億円)
1979-01-01,11925.41404,14763.41312
1979-02-01,15470.63623,14747.68659
1979-03-01,19247.06473,17290.13255
1979-04-01,16742.10856,17540.00207
1979-05-01,17951.27553,19715.18433
1979-06-01,19062.9409,18537.21295
1979-07-01,19350.32403,19860.26408
1979-08-01,17967.69263,21580.98399
1979-09-01,20547.36017,22195.14437
1979-10-01,20056.56869,23217.51345
1979-11-01,20492.52162,25759.11451
1979-12-01,26501.48146,27246.85796
1980-01-01,16562.96623,24811.33182
1980-02-01,23038.65,26402.81329
1980-03-01,26546.92011,29232.86343
1980-04-01,25347.39838,30430.68166
1980-05-01,24935.38171,29471.29058
1980-06-01,24346.9141,26646.07864
1980-07-01,24949.9891,27084.50217
1980-08-01,23360.83457,25181.78397
1980-09-01,25528.30654,23614.17575
1980-10-01,25007.63213,25663.51507
1980-11-01,23488.2428,23986.91353
1980-12-01,30711.48371,27427.30211
1981-01-01,19248.29698,24367.57507
1981-02-01,24638.51338,24028.23451
1981-03-01,29025.29112,26869.01614
1981-04-01,27245.55854,26302.90769
1981-05-01,27483.72242,27472.44157
1981-06-01,28568.38988,25288.96461
1981-07-01,30832.90251,27404.27146
1981-08-01,27842.80334,26103.28188
1981-09-01,30283.95082,24965.69032
1981-10-01,30934.67662,26076.35841
1981-11-01,26924.45296,27308.90764
1981-12-01,31661.28645,28453.80811
1982-01-01,22837.08502,26917.22394
1982-02-01,27043.03626,26226.26491
1982-03-01,31957.4214,29925.63146
1982-04-01,30321.35254,29107.65044
1982-05-01,27500.30458,26429.18484
1982-06-01,28623.27713,24538.4587
1982-07-01,30601.66486,27340.93071
1982-08-01,26844.80947,26892.12129
1982-09-01,30097.90237,25974.64133
1982-10-01,29740.59071,27153.98623
1982-11-01,27409.79399,28570.13201
1982-12-01,31347.77114,27486.79988
1983-01-01,21341.95274,25439.89927
1983-02-01,26163.27639,22826.30898
1983-03-01,30689.2052,25861.77655
1983-04-01,29120.37421,24279.65036
1983-05-01,27384.07179,23157.8217
1983-06-01,29354.10242,24695.44895
1983-07-01,30295.05276,23451.69751
1983-08-01,28239.95709,24166.12821
1983-09-01,31297.31941,25449.67322
1983-10-01,30323.22397,25519.13119
1983-11-01,29076.39368,26278.64029
1983-12-01,35807.75633,29021.66433
1984-01-01,23841.38917,25807.31324
1984-02-01,30980.50444,25883.07479
1984-03-01,35569.4125,28304.72023
1984-04-01,32515.41878,25520.02164
1984-05-01,32562.91685,28308.1782
1984-06-01,34177.68073,24882.83864
1984-07-01,35358.60561,27756.53157
1984-08-01,32443.04955,29740.07963
1984-09-01,35596.46133,24667.73743
1984-10-01,36798.14216,27930.24279
1984-11-01,34101.19351,26555.03704
1984-12-01,39308.16238,27855.4912
1985-01-01,27948.24956,26705.58409
1985-02-01,33206.09123,27163.85467
1985-03-01,37827.6125,29526.95224
1985-04-01,37825.13662,29552.93888
1985-05-01,36286.03287,27793.73225
1985-06-01,36139.87776,23584.61
1985-07-01,37588.52479,26326.96947
1985-08-01,32979.16779,24671.21341
1985-09-01,35340.90591,24342.82481
1985-10-01,35600.7133,25858.56829
1985-11-01,32420.38345,22404.86096
1985-12-01,36393.89893,22917.243
1986-01-01,25835.56595,22034.98166
1986-02-01,29130.62394,21545.67575
1986-03-01,31770.78112,19763.78417
1986-04-01,31732.89742,19482.94612
1986-05-01,29879.45773,17349.3401
1986-06-01,29572.83036,17154.08102
1986-07-01,30755.30691,17449.59513
1986-08-01,26091.6817,14502.09369
1986-09-01,29476.37644,15628.74173
1986-10-01,29525.9946,17540.54801
1986-11-01,27119.50593,15247.72776
1986-12-01,32006.11677,17807.65556
1987-01-01,23623.12083,16855.55813
1987-02-01,26347.87086,15443.17465
1987-03-01,29632.78213,17285.8253
1987-04-01,28630.59167,17582.96866
1987-05-01,26056.78477,17065.26592
1987-06-01,26846.1197,17421.55936
1987-07-01,29421.71833,19151.4523
1987-08-01,26551.57654,18789.06619
1987-09-01,29097.89669,18495.73301
1987-10-01,29855.3982,20047.05252
1987-11-01,26187.88807,19652.27338
1987-12-01,30900.16604,19579.19731
1988-01-01,21876.13965,17961.64853
1988-02-01,26029.63105,19276.70914
1988-03-01,29225.10217,19639.65033
1988-04-01,28256.34638,19719.96284
1988-05-01,25758.60023,19289.14302
1988-06-01,27616.95856,20166.21821
1988-07-01,30393.79123,20979.89785
1988-08-01,27755.6697,21134.15332
1988-09-01,31094.55598,20689.34053
1988-10-01,30945.37899,20888.90851
1988-11-01,28418.71801,20204.61335
1988-12-01,32020.93963,20112.95296
1989-01-01,24369.19848,20244.44396
1989-02-01,28757.23988,19464.62225
1989-03-01,33921.25121,25446.96946
1989-04-01,30675.05097,21046.84284
1989-05-01,29075.78772,24008.01378
1989-06-01,32467.95217,24915.68117
1989-07-01,33199.46103,24724.57831
1989-08-01,30613.39138,25894.86276
1989-09-01,35292.16651,24853.80823
1989-10-01,32864.37743,26189.26165
1989-11-01,31508.98465,26465.2082
1989-12-01,35480.48483,26531.4332
1990-01-01,26989.20009,26488.94855
1990-02-01,31898.96457,24688.18441
1990-03-01,38764.11321,28234.89159
1990-04-01,34445.06468,28876.52595
1990-05-01,33800.6008,28995.44419
1990-06-01,36240.06217,26043.47613
1990-07-01,36256.66385,28225.66286
1990-08-01,33395.66914,28302.71046
1990-09-01,36859.30278,27110.24287
1990-10-01,35729.49481,31429.03612
1990-11-01,33022.64729,30152.29249
1990-12-01,37167.61335,30004.66076
1991-01-01,29513.41099,28274.41144
1991-02-01,32704.47564,26084.26257
1991-03-01,39614.90693,28212.64514
1991-04-01,33158.86709,24496.86339
1991-05-01,33702.18632,27949.54173
1991-06-01,35387.99084,25299.28197
1991-07-01,36928.37249,27781.48908
1991-08-01,33979.23866,26169.63288
1991-09-01,37622.73475,24505.67764
1991-10-01,37486.1978,27999.73754
1991-11-01,35332.19736,26978.2412
1991-12-01,38168.35087,25249.75064
1992-01-01,30214.36725,25463.49846
1992-02-01,35292.02937,22484.8956
1992-03-01,39693.284,25325.5862
1992-04-01,36271.17687,26796.44816
1992-05-01,33687.99562,23477.6838
1992-06-01,35996.33739,24560.25147
1992-07-01,37064.51371,25480.03326
1992-08-01,33183.96801,24291.67268
1992-09-01,39297.82656,24311.92336
1992-10-01,37603.52345,24477.08909
1992-11-01,33517.36387,24194.4212
1992-12-01,38300.42834,24410.69032
1993-01-01,30124.74007,23573.65563
1993-02-01,34615.21719,21573.11473
1993-03-01,40865.69506,25103.48134
1993-04-01,35288.25964,23498.06884
1993-05-01,29867.93554,21241.48119
1993-06-01,32885.31601,22244.5675
1993-07-01,34875.36565,22070.51486
1993-08-01,29307.4207,21475.67439
1993-09-01,34817.24569,21731.81801
1993-10-01,33193.7747,21618.44659
1993-11-01,30634.91754,22650.71063
1993-12-01,35548.59946,21482.03868
1994-01-01,29068.53119,22283.38869
1994-02-01,32249.79018,20419.13309
1994-03-01,38395.27713,23783.33198
1994-04-01,34384.61872,22806.3227
1994-05-01,29006.92807,22263.5991
1994-06-01,35164.50964,23348.20673
1994-07-01,34317.02395,22134.99422
1994-08-01,31171.49441,25127.87936
1994-09-01,35877.52468,24014.58244
1994-10-01,34277.48093,25124.06524
1994-11-01,33545.63966,25219.65933
1994-12-01,37516.70841,24518.11055
1995-01-01,27188.73316,24439.74354
1995-02-01,34946.89171,23734.11995
1995-03-01,40105.91913,27156.86031
1995-04-01,34676.55124,25388.72628
1995-05-01,29815.03555,23945.1468
1995-06-01,34135.87882,24240.17789
1995-07-01,32573.76723,24489.86996
1995-08-01,31949.75552,26598.39489
1995-09-01,38176.19284,26992.29046
1995-10-01,35605.29834,30200.785
1995-11-01,36047.97728,29311.70209
1995-12-01,40086.95039,28989.72164
1996-01-01,30274.19286,29644.945
1996-02-01,36247.31544,29798.73662
1996-03-01,41105.4046,29929.06469
1996-04-01,36446.67863,33293.44233
1996-05-01,34059.4342,31768.45485
1996-06-01,36629.95373,29313.66058
1996-07-01,38260.2269,33255.55642
1996-08-01,34542.98031,31068.48451
1996-09-01,38745.39603,30972.68158
1996-10-01,39623.83286,35002.41833
1996-11-01,39685.25041,32983.53186
1996-12-01,41692.44609,32903.23429
1997-01-01,35413.20217,35658.0075
1997-02-01,39903.95939,33096.7603
1997-03-01,45402.49607,37400.37814
1997-04-01,44269.5849,36197.88314
1997-05-01,41026.64493,33706.85627
1997-06-01,41195.75002,31601.61585
1997-07-01,42811.89565,34420.90633
1997-08-01,39361.29775,32170.64124
1997-09-01,44235.16871,33599.85804
1997-10-01,46459.93381,35400.83612
1997-11-01,42248.47644,31622.84761
1997-12-01,47051.50875,34685.23519
1998-01-01,38599.03993,34533.38979
1998-02-01,40940.4844,28167.98387
1998-03-01,45912.11719,33506.61726
1998-04-01,43466.53587,31240.09126
1998-05-01,40423.02154,28242.13082
1998-06-01,43464.11506,31329.21136
1998-07-01,45613.03764,32510.96504
1998-08-01,40140.0988,31230.44847
1998-09-01,45965.62432,30549.92321
1998-10-01,43813.85777,30154.04845
1998-11-01,36791.59642,27889.36281
1998-12-01,41320.51044,27182.29949
1999-01-01,34505.58739,26965.81738
1999-02-01,35932.28534,26620.82497
1999-03-01,43057.20229,30022.38643
1999-04-01,40235.70532,29866.04714
1999-05-01,35610.9811,27410.14122
1999-06-01,40868.33418,29244.76179
1999-07-01,42197.60216,29772.41777
1999-08-01,37369.71556,30398.50528
1999-09-01,42704.31731,28955.32232
1999-10-01,41327.0851,29636.71008
1999-11-01,38894.73734,32262.16496
1999-12-01,42772.00932,31524.98129
2000-01-01,35127.21254,29921.9235
2000-02-01,41368.16214,29575.34578
2000-03-01,47000.61682,35947.83576
2000-04-01,43778.01174,32369.88257
2000-05-01,38514.59857,32764.35493
2000-06-01,44872.27124,32945.90458
2000-07-01,43132.04396,33127.44506
2000-08-01,42048.57926,35985.79064
2000-09-01,46791.80275,33860.40037
