Date,ASEAN.Exports Quantum Index,ASEAN.Imports Quantum Index,ASEAN.Exports Quantum Index Percent Change,ASEAN.Imports Quantum Index Percent Change
2009-01-01,56.3,86.1,-36.4,-16.7
2009-02-01,53.2,74.3,-48.6,-28.3
2009-03-01,62.8,82.2,-41.6,-24.3
2009-04-01,66,78.4,-37.1,-22.3
2009-05-01,66,73.8,-37.9,-22.7
2009-06-01,81.2,88.3,-25.2,-12.5
2009-07-01,88.9,91,-24.5,-12.1
2009-08-01,86.6,86.8,-20.9,-11
2009-09-01,90.7,90,-15.6,-12.6
2009-10-01,98.8,91.4,-8.9,-13.8
2009-11-01,89.8,91.2,2,0
2009-12-01,100.7,93.3,21.7,-1.8
2010-01-01,87.2,96.3,54.8,11.9
2010-02-01,93,89.6,74.7,20.5
2010-03-01,105.2,101.6,67.5,23.6
2010-04-01,101.9,99.1,54.5,26.4
2010-05-01,93.3,92.7,41.3,25.6
2010-06-01,102.3,99.9,25.9,13.1
2010-07-01,106.6,102.8,19.9,13
2010-08-01,96.2,102.6,11.1,18.2
2010-09-01,108.1,106.3,19.2,18.2
2010-10-01,101.9,98.3,3.1,7.6
2010-11-01,98.2,103.9,9.4,13.9
2010-12-01,106.3,107.1,5.6,14.8
2011-01-01,86.9,103.7,-0.4,7.7
2011-02-01,93.8,98.5,0.9,9.9
2011-03-01,98.5,107.5,-6.4,5.9
2011-04-01,93.7,97.8,-8,-1.4
2011-05-01,84.1,96.5,-9.8,4
2011-06-01,101.3,103,-1,3.1
2011-07-01,103.8,102.7,-2.6,-0.1
2011-08-01,98,106.8,1.9,4.1
2011-09-01,109,103.3,0.8,-2.8
2011-10-01,95.8,101.2,-6,3
2011-11-01,89.3,97.9,-9.1,-5.8
2011-12-01,100.7,100.5,-5.3,-6.2
2012-01-01,81.3,109.1,-6.4,5.2
2012-02-01,95,103.1,1.3,4.7
2012-03-01,113.5,106,15.3,-1.4
2012-04-01,100.6,91.6,7.3,-6.3
2012-05-01,98.1,108.7,16.6,12.7
2012-06-01,108.5,101.6,7.1,-1.3
2012-07-01,103.6,103.5,-0.2,0.8
2012-08-01,96.1,103.2,-1.9,-3.4
2012-09-01,102.6,102.7,-5.9,-0.6
2012-10-01,99.8,102.2,4.3,0.9
2012-11-01,93.6,99.2,4.9,1.3
2012-12-01,97.6,102.8,-3.1,2.3
2013-01-01,81.5,100.3,0.3,-8.1
2013-02-01,87.2,99.4,-8.2,-3.6
2013-03-01,103.4,101.8,-8.9,-3.9
2013-04-01,99,97.3,-1.6,6.2
2013-05-01,95.1,98.6,-3.1,-9.3
2013-06-01,100.7,92.7,-7.3,-8.8
2013-07-01,93.6,108,-9.6,4.4
2013-08-01,93.9,98.6,-2.3,-4.5
2013-09-01,96.1,97.1,-6.3,-5.4
2013-10-01,99.1,108.1,-0.7,5.8
2013-11-01,95,103.9,1.5,4.7
2013-12-01,94.4,102.4,-3.3,-0.4
2014-01-01,82.5,107.2,1.2,6.9
2014-02-01,88.2,101.4,1.2,2
2014-03-01,102.8,111.4,-0.6,9.3
2014-04-01,98.8,97.7,-0.2,0.4
2014-05-01,91.4,97,-3.8,-1.6
2014-06-01,93.1,96.2,-7.5,3.8
2014-07-01,98.1,104.7,4.8,-3.1
2014-08-01,94.3,94.7,0.4,-4
2014-09-01,98.1,101.6,2.1,4.6
2014-10-01,103.8,100.1,4.7,-7.4
2014-11-01,95.3,100,0.3,-3.8
2014-12-01,100.6,105.2,6.6,2.8
2015-01-01,93.2,110.4,13,2.9
2015-02-01,96.5,99.9,9.4,-1.5
2015-03-01,105.2,109.2,2.4,-1.9
2015-04-01,98.8,102.8,-0.1,5.4
2015-05-01,87.2,95.9,-4.5,-1.2
2015-06-01,94.7,105.6,1.7,9.8
2015-07-01,96,110.8,-2.2,5.8
2015-08-01,88.3,97.2,-6.4,2.7
2015-09-01,94.3,106.3,-3.9,4.6
2015-10-01,100.3,109.6,-3.4,9.5
2015-11-01,90.6,102.3,-5,2.3
2015-12-01,94.2,106,-6.4,0.7
2016-01-01,81.8,105,-12.2,-4.9
2016-02-01,90,107.9,-6.8,8
2016-03-01,101.8,112.8,-3.3,3.3
2016-04-01,96.4,97.4,-2.4,-5.3
2016-05-01,88,99.4,0.8,3.7
2016-06-01,98.9,109.1,4.4,3.3
