Date,USA.Exports Quantum Index,USA.Imports Quantum Index,USA.Exports Quantum Index Percent Change,USA.Imports Quantum Index Percent Change
2009-01-01,66.5,91.7,-48.6,-22.8
2009-02-01,65.1,86.3,-55.5,-24.3
2009-03-01,74.9,96.2,-49.5,-22.6
2009-04-01,70.2,83,-49.4,-27.2
2009-05-01,69.4,80.5,-46.9,-34.9
2009-06-01,81,86.8,-38.3,-35.8
2009-07-01,87.5,82.7,-34.7,-30.3
2009-08-01,80.4,84,-29.3,-29.3
2009-09-01,94.7,92.5,-27.3,-22.1
2009-10-01,102.4,106.7,-21.1,-6
2009-11-01,97.8,94.2,-6.2,-9.9
2009-12-01,100.5,97.9,-2.4,-2.1
2010-01-01,80.6,95.4,21.1,4
2010-02-01,95.8,89.9,47.2,4.2
2010-03-01,98.9,104.9,32.1,9
2010-04-01,97.6,99.9,39,20.4
2010-05-01,82.7,102.1,19.1,26.9
2010-06-01,103.1,107.2,27.3,23.5
2010-07-01,110.9,104.4,26.7,26.3
2010-08-01,90.9,99.4,12.9,18.4
2010-09-01,109.1,99.4,15.1,7.4
2010-10-01,109.6,96.5,7,-9.5
2010-11-01,105.9,107.2,8.3,13.7
2010-12-01,116.3,93.7,15.8,-4.3
2011-01-01,88.1,92.2,9.3,-3.3
2011-02-01,99.9,92.9,4.3,3.4
2011-03-01,97.7,96.3,-1.2,-8.2
2011-04-01,77.9,99.8,-20.2,-0.1
2011-05-01,76,104.5,-8,2.3
2011-06-01,101.6,100.9,-1.5,-5.9
2011-07-01,106.2,95.4,-4.2,-8.7
2011-08-01,98.3,103.3,8.2,3.9
2011-09-01,113.3,98.6,3.9,-0.9
2011-10-01,108,104.8,-1.5,8.6
2011-11-01,108.1,105.4,2.1,-1.7
2011-12-01,122.2,94.8,5.1,1.2
2012-01-01,91.1,98.5,3.4,6.8
2012-02-01,114.5,92.2,14.6,-0.7
2012-03-01,118.7,104.2,21.5,8.1
2012-04-01,108.7,104.1,39.6,4.3
2012-05-01,103,110.5,35.4,5.8
2012-06-01,115,102.1,13.2,1.2
2012-07-01,107.8,103.1,1.5,8.1
2012-08-01,104.1,104.5,5.9,1.1
2012-09-01,109.5,104.7,-3.4,6.2
2012-10-01,109.3,104.5,1.2,-0.2
2012-11-01,107.5,95.5,-0.6,-9.4
2012-12-01,112.8,91.9,-7.7,-3.1
2013-01-01,90,96.8,-1.2,-1.6
2013-02-01,101.6,84.7,-11.2,-8.1
2013-03-01,107.4,93.1,-9.6,-10.6
2013-04-01,108.9,95.2,0.2,-8.6
2013-05-01,99.5,103,-3.3,-6.8
2013-06-01,107.5,99.2,-6.4,-2.9
2013-07-01,108.3,105.2,0.4,2.1
2013-08-01,105.1,102.2,0.9,-2.2
2013-09-01,108.2,98.7,-1.2,-5.7
2013-10-01,115,102.4,5.3,-2
2013-11-01,110.6,115.8,2.9,21.2
2013-12-01,107.6,92.8,-4.6,1.1
2014-01-01,95.7,111.6,6.3,15.3
2014-02-01,100.6,98.3,-1,16
2014-03-01,108.9,105.5,1.5,13.3
2014-04-01,107.3,101.1,-1.5,6.2
2014-05-01,97.6,104,-1.9,1
2014-06-01,105.6,105.6,-1.8,6.4
2014-07-01,107.1,104.5,-1,-0.7
2014-08-01,98.5,99.8,-6.2,-2.3
2014-09-01,107.1,98.8,-1.1,0.1
2014-10-01,114.6,110.5,-0.4,7.9
2014-11-01,106.5,104.5,-3.7,-9.7
2014-12-01,116.7,101,8.4,8.8
2015-01-01,98.5,95.2,2.9,-14.7
2015-02-01,102.5,88.5,1.9,-10
2015-03-01,115.3,116.6,5.8,10.5
2015-04-01,114.9,105.7,7.1,4.6
2015-05-01,91.1,105.8,-6.7,1.7
2015-06-01,102.4,109.6,-3,3.8
2015-07-01,106.9,106.2,-0.2,1.6
2015-08-01,90.9,106.5,-7.7,6.7
2015-09-01,102,97.9,-4.7,-0.9
