Date,資金循環統計 - 負債・未収・未払金／家計／ストック(兆円)
1997-12-01,5.487
1998-03-01,7.643
1998-06-01,5.6574
1998-09-01,5.72
1998-12-01,5.1337
1999-03-01,7.0055
1999-06-01,5.1294
1999-09-01,5.3955
1999-12-01,4.9475
2000-03-01,7.2602
2000-06-01,5.2443
2000-09-01,4.7894
2000-12-01,4.4843
2001-03-01,5.8038
2001-06-01,4.9533
2001-09-01,5.1684
2001-12-01,4.8826
2002-03-01,6.4918
2002-06-01,5.4914
2002-09-01,5.2841
2002-12-01,4.8406
2003-03-01,5.9611
2003-06-01,5.2764
2003-09-01,5.3764
2003-12-01,4.4257
2004-03-01,5.6055
2004-06-01,4.1644
2004-09-01,4.266
2004-12-01,3.7173
2005-03-01,5.6622
2005-06-01,4.4107
2005-09-01,4.8176
2005-12-01,3.8845
2006-03-01,5.4538
2006-06-01,4.2843
2006-09-01,4.4224
2006-12-01,3.7562
2007-03-01,5.1614
2007-06-01,4.103
2007-09-01,4.3524
2007-12-01,3.7366
2008-03-01,5.6515
2008-06-01,3.7405
2008-09-01,4.4189
2008-12-01,3.3921
2009-03-01,5.289
2009-06-01,4.0667
2009-09-01,3.9511
2009-12-01,3.816
2010-03-01,4.545
2010-06-01,3.5698
2010-09-01,3.3564
2010-12-01,3.3951
2011-03-01,4.1416
2011-06-01,3.1736
2011-09-01,3.214
2011-12-01,2.8254
2012-03-01,4.7509
2012-06-01,3.116
2012-09-01,3.1924
2012-12-01,3.069
2013-03-01,4.0962
2013-06-01,3.0991
2013-09-01,3.1554
2013-12-01,3.3516
2014-03-01,4.19
2014-06-01,3.5129
2014-09-01,3.5237
2014-12-01,3.5023
2015-03-01,5.3497
2015-06-01,3.6737
