Date,資金循環統計 - 負債・金融資産･負債差額／家計／ストック(兆円)
1997-12-01,874.3865
1998-03-01,872.0926
1998-06-01,887.5101
1998-09-01,877.1374
1998-12-01,901.9738
1999-03-01,911.2827
1999-06-01,948.2733
1999-09-01,954.7972
1999-12-01,989.7686
2000-03-01,983.5523
2000-06-01,992.6602
2000-09-01,994.6124
2000-12-01,1001.0657
2001-03-01,979.0758
2001-06-01,1004.5429
2001-09-01,964.0162
2001-12-01,988.8457
2002-03-01,1013.6173
2002-06-01,1028.5956
2002-09-01,1016.2979
2002-12-01,1028.2711
2003-03-01,1011.426
2003-06-01,1046.1442
2003-09-01,1054.3915
2003-12-01,1071.414
2004-03-01,1062.1019
2004-06-01,1082.1153
2004-09-01,1067.0261
2004-12-01,1083.554
2005-03-01,1080.3763
2005-06-01,1106.313
2005-09-01,1124.3886
2005-12-01,1179.6621
2006-03-01,1160.3843
2006-06-01,1158.782
2006-09-01,1156.3145
2006-12-01,1198.6341
2007-03-01,1185.7998
2007-06-01,1222.491
2007-09-01,1202.2214
2007-12-01,1169.1158
2008-03-01,1115.7853
2008-06-01,1137.3761
2008-09-01,1102.3567
2008-12-01,1085.6768
2009-03-01,1078.3084
2009-06-01,1119.4257
2009-09-01,1116.1316
2009-12-01,1126.1069
2010-03-01,1122.0105
2010-06-01,1118.0936
2010-09-01,1119.1726
2010-12-01,1142.442
2011-03-01,1134.6765
2011-06-01,1158.1201
2011-09-01,1132.8164
2011-12-01,1149.1532
2012-03-01,1158.8731
2012-06-01,1168.3467
2012-09-01,1163.069
2012-12-01,1201.7522
2013-03-01,1219.9713
2013-06-01,1249.937
2013-09-01,1257.3904
2013-12-01,1293.5733
2014-03-01,1255.5998
2014-06-01,1288.6879
2014-09-01,1291.8908
2014-12-01,1328.9494
2015-03-01,1323.9235
2015-06-01,1346.22
