Date,資金循環統計 - 資産・保険・年金準備金／家計／ストック(兆円)
1997-12-01,344.1167
1998-03-01,348.0154
1998-06-01,350.6565
1998-09-01,353.7099
1998-12-01,355.9663
1999-03-01,358.9229
1999-06-01,360.982
1999-09-01,363.4433
1999-12-01,365.529
2000-03-01,369.8712
2000-06-01,371.8726
2000-09-01,374.0439
2000-12-01,375.4918
2001-03-01,377.624
2001-06-01,377.1264
2001-09-01,377.7391
2001-12-01,378.008
2002-03-01,418.6319
2002-06-01,418.1965
2002-09-01,417.0894
2002-12-01,416.859
2003-03-01,423.2745
2003-06-01,422.2212
2003-09-01,423.7036
2003-12-01,423.8065
2004-03-01,413.0719
2004-06-01,415.7433
2004-09-01,416.0677
2004-12-01,415.8717
2005-03-01,412.9037
2005-06-01,414.1168
2005-09-01,415.0592
2005-12-01,417.7057
2006-03-01,411.58
2006-06-01,413.1602
2006-09-01,415.4807
2006-12-01,417.8297
2007-03-01,419.6472
2007-06-01,420.9826
2007-09-01,422.4261
2007-12-01,420.8336
2008-03-01,426.7803
2008-06-01,425.5359
2008-09-01,423.4465
2008-12-01,419.5308
2009-03-01,426.1218
2009-06-01,424.7127
2009-09-01,423.9758
2009-12-01,422.0331
2010-03-01,417.9416
2010-06-01,415.8852
2010-09-01,417.4657
2010-12-01,417.6976
2011-03-01,418.6724
2011-06-01,417.8647
2011-09-01,417.0144
2011-12-01,418.4607
2012-03-01,422.5527
2012-06-01,422.416
2012-09-01,424.7087
2012-12-01,428.8865
2013-03-01,431.3992
2013-06-01,432.2849
2013-09-01,435.3112
2013-12-01,439.078
2014-03-01,435.2088
2014-06-01,436.2482
2014-09-01,439.1771
2014-12-01,441.7845
2015-03-01,444.6026
2015-06-01,443.5238
