Date,資金循環統計 - 資産・金融派生商品／家計／ストック(兆円)
1997-12-01,0.0125
1998-03-01,0.0135
1998-06-01,0.0125
1998-09-01,0.0334
1998-12-01,0.0755
1999-03-01,0.0159
1999-06-01,0.012
1999-09-01,0.004
1999-12-01,0.0035
2000-03-01,0.0051
2000-06-01,0.0096
2000-09-01,0.008
2000-12-01,0.0145
2001-03-01,0.016
2001-06-01,0.0124
2001-09-01,0.0284
2001-12-01,0.0259
2002-03-01,0.0235
2002-06-01,0.023
2002-09-01,0.0394
2002-12-01,0.0359
2003-03-01,0.0572
2003-06-01,0.0374
2003-09-01,0.0391
2003-12-01,0.0424
2004-03-01,0.0453
2004-06-01,0.0431
2004-09-01,0.0407
2004-12-01,0.0486
2005-03-01,0.024
2005-06-01,0.0455
2005-09-01,0.0967
2005-12-01,0.1373
2006-03-01,0.1785
2006-06-01,0.1616
2006-09-01,0.095
2006-12-01,0.1375
2007-03-01,0.16
2007-06-01,0.159
2007-09-01,0.1277
2007-12-01,0.2199
2008-03-01,0.2765
2008-06-01,0.2955
2008-09-01,0.4148
2008-12-01,0.4475
2009-03-01,0.2567
2009-06-01,0.2073
2009-09-01,0.3768
2009-12-01,0.5746
2010-03-01,0.419
2010-06-01,0.4185
2010-09-01,0.5657
2010-12-01,0.505
2011-03-01,0.7261
2011-06-01,0.3582
2011-09-01,0.4524
2011-12-01,0.4294
2012-03-01,0.2909
2012-06-01,0.3709
2012-09-01,0.6324
2012-12-01,0.7326
2013-03-01,0.6534
2013-06-01,0.7616
2013-09-01,0.5393
2013-12-01,0.304
2014-03-01,0.4852
2014-06-01,0.2661
2014-09-01,0.3876
2014-12-01,0.7016
2015-03-01,0.5812
2015-06-01,0.6489
