Date,身の回り用品
2013-02-01,98.8
2013-03-01,103.6
2013-04-01,103.7
2013-05-01,103.8
2013-06-01,103.6
2013-07-01,106.1
2013-08-01,105.8
2013-09-01,106
2013-10-01,106
2013-11-01,107.2
2013-12-01,107.6
2014-01-01,106.8
2014-02-01,107.3
2014-03-01,110
2014-04-01,113.1
2014-05-01,113.3
2014-06-01,113
2014-07-01,112.5
2014-08-01,112.8
2014-09-01,113.5
2014-10-01,113.8
2014-11-01,113.6
2014-12-01,114.6
2015-01-01,114.2
2015-02-01,114.2
2015-03-01,114.8
2015-04-01,115.2
2015-05-01,115.2
2015-06-01,115.3
2015-07-01,117.1
