Date,乗用車群計
2010-01-01,102313
2010-02-01,128758
2010-03-01,182695
2010-04-01,101780
2010-05-01,97181
2010-06-01,115309
2010-07-01,117270
2010-08-01,104802
2010-09-01,126026
2010-10-01,82593
2010-11-01,83080
2010-12-01,84488
2011-01-01,93735
2011-02-01,117707
2011-03-01,124333
2011-04-01,58501
2011-05-01,74141
2011-06-01,95465
2011-07-01,101351
2011-08-01,87066
2011-09-01,114536
2011-10-01,102791
2011-11-01,104770
2011-12-01,97379
2012-01-01,121529
2012-02-01,149865
2012-03-01,200300
2012-04-01,121746
2012-05-01,130086
2012-06-01,152751
2012-07-01,152266
2012-08-01,112650
2012-09-01,127641
2012-10-01,105008
2012-11-01,112435
2012-12-01,99134
2013-01-01,127182
2013-02-01,153211
2013-03-01,203866
2013-04-01,123707
2013-05-01,118917
2013-06-01,148037
2013-07-01,154260
2013-08-01,123524
2013-09-01,163956
2013-10-01,123514
2013-11-01,137804
2013-12-01,137392
2014-01-01,170871
2014-02-01,192491
2014-03-01,251607
2014-04-01,129078
2014-05-01,127550
2014-06-01,152264
2014-07-01,142504
2014-08-01,105021
2014-09-01,165639
2014-10-01,123287
2014-11-01,137467
2014-12-01,164269
2015-01-01,137745
2015-02-01,165369
2015-03-01,232884
2015-04-01,94991
2015-05-01,100186
2015-06-01,127009
2015-07-01,111777
2015-08-01,91715
2015-09-01,141387
