Date,貨物車群計
2010-01-01,25994
2010-02-01,34580
2010-03-01,48500
2010-04-01,28590
2010-05-01,30452
2010-06-01,39970
2010-07-01,35931
2010-08-01,29394
2010-09-01,37266
2010-10-01,28477
2010-11-01,37274
2010-12-01,23697
2011-01-01,24605
2011-02-01,30951
2011-03-01,33876
2011-04-01,18347
2011-05-01,21068
2011-06-01,31337
2011-07-01,30235
2011-08-01,26266
2011-09-01,33865
2011-10-01,30393
2011-11-01,38561
2011-12-01,29866
2012-01-01,31128
2012-02-01,36548
2012-03-01,53629
2012-04-01,28907
2012-05-01,28495
2012-06-01,35438
2012-07-01,32316
2012-08-01,25754
2012-09-01,30566
2012-10-01,28782
2012-11-01,37532
2012-12-01,24940
2013-01-01,26986
2013-02-01,31715
2013-03-01,43193
2013-04-01,28292
2013-05-01,29632
2013-06-01,35875
2013-07-01,33534
2013-08-01,25819
2013-09-01,34487
2013-10-01,33568
2013-11-01,43166
2013-12-01,31354
2014-01-01,32788
2014-02-01,36501
2014-03-01,50738
2014-04-01,27283
2014-05-01,28913
2014-06-01,35120
2014-07-01,31873
2014-08-01,21843
2014-09-01,37807
2014-10-01,32707
2014-11-01,39478
2014-12-01,35691
2015-01-01,26451
2015-02-01,28385
2015-03-01,44503
2015-04-01,26118
2015-05-01,25568
2015-06-01,36247
2015-07-01,31077
2015-08-01,24030
2015-09-01,32186
