Date,輸送用機械器具製造業(集約)
2008-03-01,1171502
2008-06-01,660668
2008-09-01,822835
2008-12-01,720845
2009-03-01,950393
2009-06-01,387397
2009-09-01,331536
2009-12-01,348990
2010-03-01,457412
2010-06-01,327512
2010-09-01,449998
2010-12-01,406660
2011-03-01,539801
2011-06-01,337156
2011-09-01,428915
2011-12-01,439494
2012-03-01,633209
2012-06-01,395698
2012-09-01,521083
2012-12-01,445646
2013-03-01,687453
2013-06-01,455947
2013-09-01,535540
2013-12-01,522731
2014-03-01,774901
2014-06-01,443901
2014-09-01,568595
2014-12-01,541001
2015-03-01,874440
2015-06-01,559536
