Date,前週差_Weekly U.S. Ending Stocks excluding SPR of Crude Oil  (Thousand Barrels)
2014-09-19,-4273
2014-09-26,-1363
2014-10-03,5015
2014-10-10,8923
2014-10-17,7111
2014-10-24,2061
2014-10-31,460
2014-11-07,-1735
2014-11-14,2608
2014-11-21,1946
2014-11-28,-3689
2014-12-05,1454
2014-12-12,-847
2014-12-19,7267
2014-12-26,-1754
2015-01-02,-3062
2015-01-09,5389
2015-01-16,10071
2015-01-23,8874
2015-01-30,6333
2015-02-06,4868
2015-02-13,7716
2015-02-20,8427
2015-02-27,10303
2015-03-06,4512
2015-03-13,9622
2015-03-20,8170
2015-03-27,4766
2015-04-03,10949
2015-04-10,1294
2015-04-17,5315
2015-04-24,1910
2015-05-01,-3882
2015-05-08,-2191
2015-05-15,-2674
2015-05-22,-2802
2015-05-29,-1948
2015-06-05,-6812
2015-06-12,-2676
2015-06-19,-4934
2015-06-26,2386
2015-07-03,384
2015-07-10,-4346
2015-07-17,2468
2015-07-24,-4203
2015-07-31,-4407
2015-08-07,-1682
2015-08-14,2620
2015-08-21,-5452
2015-08-28,4667
2015-09-04,2570
2015-09-11,-2104
2015-09-18,-1925
2015-09-25,3955
2015-10-02,3073
2015-10-09,7562
2015-10-16,8028
2015-10-23,3376
2015-10-30,2847
