Date,前週差_Weekly U.S. Percent Utilization of Refinery Operable Capacity (Percent)
2014-09-26,-3.60000000000001
2014-10-03,-0.5
2014-10-10,-1.2
2014-10-17,-1.39999999999999
2014-10-24,-0.100000000000009
2014-10-31,1.80000000000001
2014-11-07,1.69999999999999
2014-11-14,1.10000000000001
2014-11-21,0.299999999999997
2014-11-28,1.90000000000001
2014-12-05,2
2014-12-12,-1.90000000000001
2014-12-19,0
2014-12-26,0.900000000000006
2015-01-02,-0.5
2015-01-09,-2.90000000000001
2015-01-16,-5.5
2015-01-23,2.5
2015-01-30,1.90000000000001
2015-02-06,0.0999999999999943
2015-02-13,-1.3
2015-02-20,-1.3
2015-02-27,-0.800000000000011
2015-03-06,1.2
2015-03-13,0.299999999999997
2015-03-20,0.900000000000006
2015-03-27,0.400000000000006
2015-04-03,0.699999999999989
2015-04-10,2.2
2015-04-17,-1.09999999999999
2015-04-24,0.0999999999999943
2015-05-01,1.7
2015-05-08,-1.8
2015-05-15,1.2
2015-05-22,1.19999999999999
2015-05-29,-0.399999999999991
2015-06-05,1.39999999999999
2015-06-12,-1.5
2015-06-19,0.900000000000006
2015-06-26,1
2015-07-03,-0.299999999999997
2015-07-10,0.599999999999994
2015-07-17,0.200000000000003
2015-07-24,-0.400000000000006
2015-07-31,1
2015-08-07,0
2015-08-14,-1
2015-08-21,-0.599999999999994
2015-08-28,-1.7
2015-09-04,-1.89999999999999
2015-09-11,2.19999999999999
2015-09-18,-2.19999999999999
2015-09-25,-1.10000000000001
2015-10-02,-2.3
2015-10-09,-1.5
2015-10-16,0.400000000000006
2015-10-23,1.19999999999999
2015-10-30,1.10000000000001
2015-11-06,0.799999999999997
