Date,運輸業、郵便業(集約)
2008-03-01,1669472
2008-06-01,807163
2008-09-01,981583
2008-12-01,964097
2009-03-01,1524722
2009-06-01,769164
2009-09-01,905506
2009-12-01,839942
2010-03-01,1430055
2010-06-01,674643
2010-09-01,916597
2010-12-01,786839
2011-03-01,1428726
2011-06-01,642900
2011-09-01,711438
2011-12-01,724875
2012-03-01,1451618
2012-06-01,709934
2012-09-01,739842
2012-12-01,839045
2013-03-01,1343964
2013-06-01,718443
2013-09-01,802066
2013-12-01,932328
2014-03-01,1727015
2014-06-01,702722
2014-09-01,811478
2014-12-01,993666
2015-03-01,1703982
2015-06-01,668943
