Date,野菜・海藻
2013-02-01,97
2013-03-01,93.4
2013-04-01,93.6
2013-05-01,91.3
2013-06-01,90.4
2013-07-01,95.7
2013-08-01,94.5
2013-09-01,101.4
2013-10-01,101.6
2013-11-01,102.1
2013-12-01,102.8
2014-01-01,103.2
2014-02-01,99.7
2014-03-01,98.4
2014-04-01,99.7
2014-05-01,98.8
2014-06-01,97.3
2014-07-01,97.2
2014-08-01,99.2
2014-09-01,111.7
2014-10-01,101.4
2014-11-01,94.7
2014-12-01,97.6
2015-01-01,105.7
2015-02-01,102.2
2015-03-01,102.2
2015-04-01,108.8
2015-05-01,110.5
2015-06-01,105.7
2015-07-01,105.8
