Date,化学機械
2008-02-01,37.4
2008-03-01,-24.1
2008-04-01,43.3
2008-05-01,-13.3
2008-06-01,2.4
2008-07-01,-18.9
2008-08-01,74.1
2008-09-01,-40.7
2008-10-01,157.3
2008-11-01,-45.2
2008-12-01,-22.8
2009-01-01,68.4
2009-02-01,-47.2
2009-03-01,10.7
2009-04-01,-2.8
2009-05-01,85.4
2009-06-01,-6.5
2009-07-01,-9.8
2009-08-01,-35.8
2009-09-01,32.6
2009-10-01,-60.5
2009-11-01,94.7
2009-12-01,77.9
2010-01-01,-49.9
2010-02-01,-15
2010-03-01,15.2
2010-04-01,40.1
2010-05-01,-56.8
2010-06-01,78.6
2010-07-01,124.6
2010-08-01,-59.6
2010-09-01,21.6
2010-10-01,-4.8
2010-11-01,-20.2
2010-12-01,29
2011-01-01,-32.4
2011-02-01,157.8
2011-03-01,-35.2
2011-04-01,-38
2011-05-01,38.4
2011-06-01,-31.8
2011-07-01,38.5
2011-08-01,6.6
2011-09-01,-17.7
2011-10-01,77.7
2011-11-01,43.1
2011-12-01,-48.4
2012-01-01,-33.6
2012-02-01,35.3
2012-03-01,-10.5
2012-04-01,0.5
2012-05-01,-1.3
2012-06-01,-33.4
2012-07-01,23.9
2012-08-01,-2
2012-09-01,86.9
2012-10-01,-50.1
2012-11-01,20.3
2012-12-01,-26.9
2013-01-01,54
2013-02-01,-1
2013-03-01,2.1
2013-04-01,-34.6
2013-05-01,21.3
2013-06-01,45.9
2013-07-01,12.8
2013-08-01,-41.9
2013-09-01,-9.6
2013-10-01,-18
2013-11-01,27.8
2013-12-01,-13.5
2014-01-01,62.9
2014-02-01,-47.1
2014-03-01,27
2014-04-01,32.5
2014-05-01,139.8
2014-06-01,-54.4
2014-07-01,-2.2
2014-08-01,11.2
2014-09-01,-13.7
2014-10-01,3.3
2014-11-01,-14.4
2014-12-01,21.6
2015-01-01,152.1
2015-02-01,-66
2015-03-01,157.1
2015-04-01,-47.1
2015-05-01,-48.4
2015-06-01,40.2
2015-07-01,7.1
2015-08-01,-35.2
