Date,機械工業
2008-02-01,0.3
2008-03-01,-0.7
2008-04-01,-1.1
2008-05-01,0.8
2008-06-01,-3.9
2008-07-01,-0.7
2008-08-01,-4.4
2008-09-01,1.1
2008-10-01,-3
2008-11-01,-9.1
2008-12-01,-10.5
2009-01-01,-12.6
2009-02-01,-13
2009-03-01,5.5
2009-04-01,1
2009-05-01,6.9
2009-06-01,2.9
2009-07-01,1.1
2009-08-01,2.1
2009-09-01,5.3
2009-10-01,3.8
2009-11-01,3.1
2009-12-01,1.2
2010-01-01,3.3
2010-02-01,1.1
2010-03-01,1.5
2010-04-01,1.6
2010-05-01,0
2010-06-01,-1.3
2010-07-01,1.4
2010-08-01,0.6
2010-09-01,1.3
2010-10-01,-2.6
2010-11-01,1.3
2010-12-01,0.6
2011-01-01,0.5
2011-02-01,0.8
2011-03-01,-21.5
2011-04-01,1
2011-05-01,10.9
2011-06-01,6.7
2011-07-01,3
2011-08-01,2.5
2011-09-01,-1.5
2011-10-01,3.2
2011-11-01,-4.9
2011-12-01,5.6
2012-01-01,0.5
2012-02-01,-0.7
2012-03-01,-0.6
2012-04-01,-0.4
2012-05-01,-2.9
2012-06-01,-1.3
2012-07-01,-1.2
2012-08-01,-1.8
2012-09-01,-3.9
2012-10-01,-0.3
2012-11-01,-1.3
2012-12-01,2.3
2013-01-01,-0.1
2013-02-01,0.9
2013-03-01,0.3
2013-04-01,1.1
2013-05-01,2
2013-06-01,-3.6
2013-07-01,4.2
2013-08-01,-0.2
2013-09-01,2.1
2013-10-01,1.2
2013-11-01,-0.1
2013-12-01,0.6
2014-01-01,4.1
2014-02-01,-2.4
2014-03-01,1.1
2014-04-01,-1.8
2014-05-01,0.4
2014-06-01,-2.5
2014-07-01,-0.1
2014-08-01,-1.3
2014-09-01,1.8
2014-10-01,0.8
2014-11-01,-0.5
2014-12-01,0.7
2015-01-01,4.8
2015-02-01,-4.3
2015-03-01,-0.2
2015-04-01,1.6
2015-05-01,-2.5
2015-06-01,0.5
2015-07-01,-1.9
2015-08-01,-1.4
