Date,炭素繊維
2008-02-01,7.3
2008-03-01,14
2008-04-01,-11.4
2008-05-01,-0.5
2008-06-01,-5.8
2008-07-01,-11.1
2008-08-01,2.2
2008-09-01,-11.2
2008-10-01,38.7
2008-11-01,-22.7
2008-12-01,-21.1
2009-01-01,33.5
2009-02-01,-41.9
2009-03-01,-43.8
2009-04-01,47.1
2009-05-01,-14.4
2009-06-01,11.8
2009-07-01,11.4
2009-08-01,10.8
2009-09-01,16
2009-10-01,22.9
2009-11-01,-16.7
2009-12-01,-8.9
2010-01-01,-5.8
2010-02-01,-0.5
2010-03-01,15.6
2010-04-01,41.8
2010-05-01,25
2010-06-01,-10.3
2010-07-01,8.1
2010-08-01,-11.9
2010-09-01,6.1
2010-10-01,-7.7
2010-11-01,18.1
2010-12-01,6.5
2011-01-01,20.6
2011-02-01,-15.8
2011-03-01,14.4
2011-04-01,-15.1
2011-05-01,0.2
2011-06-01,2.5
2011-07-01,-1.3
2011-08-01,-9.7
2011-09-01,-0.6
2011-10-01,2.2
2011-11-01,-6.2
2011-12-01,5.7
2012-01-01,-20.3
2012-02-01,17.5
2012-03-01,-9.1
2012-04-01,12.4
2012-05-01,-6.8
2012-06-01,6.9
2012-07-01,-6.8
2012-08-01,13.4
2012-09-01,-7.5
2012-10-01,-4.9
2012-11-01,-9
2012-12-01,-1.7
2013-01-01,27.4
2013-02-01,1.1
2013-03-01,8.2
2013-04-01,-6.3
2013-05-01,4.7
2013-06-01,-3.6
2013-07-01,6.6
2013-08-01,-6.6
2013-09-01,-6.7
2013-10-01,11.7
2013-11-01,8.4
2013-12-01,-4.9
2014-01-01,-3.7
2014-02-01,19.3
2014-03-01,-7.1
2014-04-01,-2.8
2014-05-01,-2.1
2014-06-01,-10
2014-07-01,7.4
2014-08-01,3
2014-09-01,-7.9
2014-10-01,7.8
2014-11-01,-7
2014-12-01,15.4
2015-01-01,8.6
2015-02-01,-16.9
2015-03-01,12.7
2015-04-01,-7.3
2015-05-01,3.1
2015-06-01,-6.9
2015-07-01,1.7
2015-08-01,3
