Date,運搬機械
2008-02-01,12.9
2008-03-01,-12.8
2008-04-01,12.3
2008-05-01,6.7
2008-06-01,-20.3
2008-07-01,11.3
2008-08-01,25.9
2008-09-01,-16.9
2008-10-01,-7
2008-11-01,-4.7
2008-12-01,-4.2
2009-01-01,-2.2
2009-02-01,42.2
2009-03-01,-41
2009-04-01,31.1
2009-05-01,-27
2009-06-01,10.9
2009-07-01,-14.4
2009-08-01,1.6
2009-09-01,-20.9
2009-10-01,10.1
2009-11-01,4.4
2009-12-01,14.7
2010-01-01,-10.2
2010-02-01,-9.2
2010-03-01,-5.1
2010-04-01,-5.2
2010-05-01,14.4
2010-06-01,3.3
2010-07-01,1.8
2010-08-01,-9.5
2010-09-01,34.8
2010-10-01,-19.7
2010-11-01,23.1
2010-12-01,-14.6
2011-01-01,-7
2011-02-01,2.1
2011-03-01,-4.7
2011-04-01,1.6
2011-05-01,8.4
2011-06-01,-6.7
2011-07-01,-2.1
2011-08-01,-2.3
2011-09-01,13.2
2011-10-01,1
2011-11-01,-0.6
2011-12-01,-1.5
2012-01-01,7
2012-02-01,-12.7
2012-03-01,8.2
2012-04-01,7
2012-05-01,-6.1
2012-06-01,6.8
2012-07-01,2.2
2012-08-01,0
2012-09-01,-14.3
2012-10-01,2.6
2012-11-01,-3.1
2012-12-01,-1.7
2013-01-01,37.9
2013-02-01,-18.8
2013-03-01,-2.2
2013-04-01,-8
2013-05-01,12
2013-06-01,-7.2
2013-07-01,2.4
2013-08-01,13.7
2013-09-01,-14.1
2013-10-01,17.4
2013-11-01,-4.4
2013-12-01,-5
2014-01-01,9.5
2014-02-01,-3.9
2014-03-01,10.3
2014-04-01,-8.7
2014-05-01,-9.7
2014-06-01,17.7
2014-07-01,50.6
2014-08-01,-43.9
2014-09-01,-3.4
2014-10-01,20.7
2014-11-01,-0.9
2014-12-01,-0.2
2015-01-01,15
2015-02-01,-9.1
2015-03-01,-19.2
2015-04-01,20.1
2015-05-01,13.7
2015-06-01,-1.8
2015-07-01,-5.7
2015-08-01,-15.1
