Date,鉱業、採石業、砂利採取業
2008-03-01,68687
2008-06-01,47261
2008-09-01,57382
2008-12-01,73763
2009-03-01,47888
2009-06-01,57575
2009-09-01,68406
2009-12-01,37369
2010-03-01,49026
2010-06-01,44364
2010-09-01,44105
2010-12-01,31584
2011-03-01,44545
2011-06-01,40961
2011-09-01,29445
2011-12-01,67040
2012-03-01,41788
2012-06-01,35103
2012-09-01,47225
2012-12-01,60592
2013-03-01,49560
2013-06-01,78375
2013-09-01,77650
2013-12-01,96820
2014-03-01,86691
2014-06-01,66361
2014-09-01,82101
2014-12-01,95643
2015-03-01,86523
2015-06-01,61704
