Date,陸運業
2008-03-01,1134153
2008-06-01,472907
2008-09-01,643965
2008-12-01,717630
2009-03-01,1153205
2009-06-01,388127
2009-09-01,583007
2009-12-01,567048
2010-03-01,1144619
2010-06-01,491585
2010-09-01,623653
2010-12-01,576098
2011-03-01,1126983
2011-06-01,455363
2011-09-01,498986
2011-12-01,507345
2012-03-01,950309
2012-06-01,423964
2012-09-01,492175
2012-12-01,508792
2013-03-01,1047044
2013-06-01,452016
2013-09-01,500335
2013-12-01,618042
2014-03-01,1232423
2014-06-01,449795
2014-09-01,619666
2014-12-01,650027
2015-03-01,1304366
2015-06-01,430406
