Date,雇用者.女.季節調整値.万人
2013-02-01,2393
2013-03-01,2397
2013-04-01,2402
2013-05-01,2396
2013-06-01,2396
2013-07-01,2402
2013-08-01,2410
2013-09-01,2415
2013-10-01,2428
2013-11-01,2425
2013-12-01,2425
2014-01-01,2421
2014-02-01,2419
2014-03-01,2420
2014-04-01,2416
2014-05-01,2422
2014-06-01,2435
2014-07-01,2444
2014-08-01,2439
2014-09-01,2449
2014-10-01,2449
2014-11-01,2452
2014-12-01,2465
2015-01-01,2463
2015-02-01,2459
2015-03-01,2467
2015-04-01,2451
2015-05-01,2465
2015-06-01,2482
2015-07-01,2478
