Date,雇用者.男.季節調整値.万人
2013-02-01,3143
2013-03-01,3129
2013-04-01,3148
2013-05-01,3151
2013-06-01,3154
2013-07-01,3155
2013-08-01,3155
2013-09-01,3140
2013-10-01,3142
2013-11-01,3157
2013-12-01,3150
2014-01-01,3146
2014-02-01,3149
2014-03-01,3165
2014-04-01,3155
2014-05-01,3163
2014-06-01,3160
2014-07-01,3162
2014-08-01,3163
2014-09-01,3168
2014-10-01,3154
2014-11-01,3148
2014-12-01,3169
2015-01-01,3169
2015-02-01,3164
2015-03-01,3157
2015-04-01,3150
2015-05-01,3153
2015-06-01,3161
2015-07-01,3160
