Date,雇用者.男女計.季節調整値.万人
2013-02-01,5536
2013-03-01,5525
2013-04-01,5549
2013-05-01,5547
2013-06-01,5550
2013-07-01,5556
2013-08-01,5566
2013-09-01,5555
2013-10-01,5571
2013-11-01,5583
2013-12-01,5575
2014-01-01,5567
2014-02-01,5568
2014-03-01,5585
2014-04-01,5571
2014-05-01,5586
2014-06-01,5595
2014-07-01,5606
2014-08-01,5602
2014-09-01,5617
2014-10-01,5604
2014-11-01,5601
2014-12-01,5634
2015-01-01,5631
2015-02-01,5621
2015-03-01,5624
2015-04-01,5601
2015-05-01,5619
2015-06-01,5643
2015-07-01,5635
