Date,電気業
2008-03-01,729333
2008-06-01,557683
2008-09-01,576548
2008-12-01,769710
2009-03-01,772161
2009-06-01,502794
2009-09-01,555012
2009-12-01,787687
2010-03-01,752231
2010-06-01,588649
2010-09-01,598121
2010-12-01,711079
2011-03-01,882154
2011-06-01,454849
2011-09-01,594923
2011-12-01,599092
2012-03-01,830326
2012-06-01,507583
2012-09-01,553130
2012-12-01,605268
2013-03-01,826876
2013-06-01,552818
2013-09-01,548048
2013-12-01,684104
2014-03-01,773658
2014-06-01,506278
2014-09-01,463619
2014-12-01,567616
2015-03-01,923475
2015-06-01,534736
