Date,食料品製造業
2008-03-01,382805
2008-06-01,361340
2008-09-01,298587
2008-12-01,284715
2009-03-01,395761
2009-06-01,295466
2009-09-01,303233
2009-12-01,312179
2010-03-01,314026
2010-06-01,261847
2010-09-01,389761
2010-12-01,302977
2011-03-01,553355
2011-06-01,326587
2011-09-01,269127
2011-12-01,312452
2012-03-01,415279
2012-06-01,304128
2012-09-01,328467
2012-12-01,341944
2013-03-01,337141
2013-06-01,226869
2013-09-01,340043
2013-12-01,342720
2014-03-01,415066
2014-06-01,313906
2014-09-01,309345
2014-12-01,300762
2015-03-01,331926
2015-06-01,283561
