Date,食料（酒類を除く）及びエネルギーを除く総合
2013-02-01,97.6
2013-03-01,98
2013-04-01,98.4
2013-05-01,98.5
2013-06-01,98.3
2013-07-01,98.3
2013-08-01,98.5
2013-09-01,98.5
2013-10-01,98.8
2013-11-01,98.7
2013-12-01,98.7
2014-01-01,98.2
2014-02-01,98.3
2014-03-01,98.6
2014-04-01,100.6
2014-05-01,100.7
2014-06-01,100.6
2014-07-01,100.6
2014-08-01,100.7
2014-09-01,100.7
2014-10-01,100.9
2014-11-01,100.8
2014-12-01,100.8
2015-01-01,100.2
2015-02-01,100.3
2015-03-01,100.7
2015-04-01,101
2015-05-01,101.1
2015-06-01,101.1
2015-07-01,101.2
